Company;Name;Ref;Review Date;Cocoa_Percent;Company_Location;Rating;Broad_Bean_Origin;Bean_Type
Alain Ducasse;Trinite;1215;2014;65;France;2.75;Trinidad;Trinitario
Altus aka Cao Artisan;Acopagro;1728;2016;60;U.S.A.;3.0;Peru;
Amano;Ocumare;175;2007;70;U.S.A.;3.75;Venezuela;Criollo
Arete;Chuno;1598;2015;70;U.S.A.;4.0;Nicaragua;Criollo, Trinitario
Artisan du Chocolat;Trinidad, Heritage, Limited ed.;1193;2013;72;U.K.;3.25;Trinidad;Trinitario
Artisan du Chocolat;Haiti;729;2011;72;U.K.;4.0;Haiti;
Artisan du Chocolat;Brazil Rio Doce;363;2009;72;U.K.;1.75;Brazil;
Bahen & Co.;Houseblend;1474;2015;80;Australia;3.25;;
Benoit Nihant;Cuyagua Village;1141;2013;74;Belgium;3.5;Venezuela;Criollo
Blue Bandana;Zorzal Reserva;1756;2016;75;U.S.A.;3.0;Dominican Republic;
Blue Bandana;Kokoa Kamili;1752;2016;75;U.S.A.;3.5;Tanzania;
Bonnat;Juliana;672;2011;75;France;3.5;Brazil;
Brasstown aka It's Chocolate;Conacado;1462;2015;68;U.S.A.;3.75;Dominican Republic;
Bright;Somia Plantation;1231;2014;72;Australia;3.0;Madagascar;Trinitario
Cello;Venezuela;1251;2014;70;U.S.A.;2.75;Venezuela;
Chchukululu (Tulicorp);Los Rios;252;2008;75;Ecuador;3.0;Ecuador;Forastero (Arriba)
Chocolate Conspiracy;Peru;1259;2014;74;U.S.A.;2.75;Peru;
Chocolate Makers;Congo, Gorilla bar;1530;2015;68;Amsterdam;3.5;Congo;Forastero
Chocovic;Kendari;439;2009;60;Spain;3.25;;
Chocovic;Tarakan;439;2009;75;Spain;3.25;;
Coppeneur;Chuao;478;2010;70;Germany;3.0;Venezuela;Trinitario
Coppeneur;Chuao 70hr;451;2009;70;Germany;3.75;Venezuela;Criollo, Trinitario
Damson;O'Payo;1666;2015;70;U.K.;2.75;Nicaragua;
Damson;Robson Estate;1610;2015;70;U.K.;3.0;Trinidad;Trinitario
Danta;Las Acacias E.;423;2009;75;Guatemala;3.0;Guatemala;Criollo
Dean and Deluca (Belcolade);Ghana;175;2007;60;U.S.A.;3.0;Ghana;Forastero
Debauve & Gallais (Michel Cluizel);Papua New Guinea;423;2009;64;France;3.0;Papua New Guinea;
Eau de Rose;Tumaco;1812;2016;70;Canada;3.25;Colombia;
Fresco;Bellavista Coop, #225, LR, MC, CG Exclusive;1149;2013;70;U.S.A.;4.0;Peru;Trinitario
Fresco;Markham Valley, #220, MR, MC;927;2012;69;U.S.A.;4.0;Papua New Guinea;Trinitario
Fresco;Sambirano Valley, #214, LR, MC;682;2011;74;U.S.A.;2.75;Madagascar;Trinitario
Guido Castagna;Arriba;355;2009;64;Italy;3.0;Ecuador;Forastero (Arriba) ASS
Guido Castagna;Trinidad & Tobago;355;2009;64;Italy;3.0;Trinidad, Tobago;
Guittard;Trinidad;552;2010;65;U.S.A.;3.0;Trinidad;Trinitario
Holy Cacao;Gran Couva;1466;2015;70;Israel;3.5;Trinidad;Trinitario
L.A. Burdick (Felchlin);Grenada;576;2010;75;U.S.A.;3.25;Grenada;Trinitario
Laia aka Chat-Noir;Bahia, Batch 148;1642;2015;75;France;3.25;Brazil;
Letterpress;Liberia;1728;2016;70;U.S.A.;3.25;Liberia;
Madecasse (Cinagra);Madagascar;284;2008;67;Madagascar;3.5;Madagascar;Trinitario
Mast Brothers;Chuao;999;2012;73;U.S.A.;2.75;Venezuela;Trinitario
Matale;Somia, 2013;1177;2013;68;Australia;4.0;Madagascar;Trinitario
Mayacama;Hispaniola;1728;2016;72;U.S.A.;3.0;Domincan Republic;
Middlebury;Oko Caribe;1490;2015;75;U.S.A.;3.75;Dominican Republic;
Millcreek Cacao Roasters;Ecuador;825;2012;70;U.S.A.;3.5;Ecuador;
Nathan Miller;Madagascar;1403;2014;73;U.S.A.;2.5;Madagascar;Trinitario
Neuhaus (Callebaut);Ocumare;24;2006;71;Belgium;3.0;Venezuela;Criollo
Olivia;Carribean-Raw;688;2011;85;Canada;3.0;Carribean;
Omanhene;Ghana;693;2011;80;Ghana;2.75;Ghana;Forastero
Omnom;Kakao Kamili, Kilombero Valley;1816;2016;70;Iceland;3.75;Tanzania;Trinitario
Pacari;Los Rios;224;2008;72;Ecuador;3.0;Ecuador;Forastero (Arriba)
Palette de Bine;Maya Mtn;1720;2016;72;Canada;3.0;Belize;Trinitario
Parliament;Kilombero Valley;1856;2016;70;U.S.A.;3.25;Tanzania;
Rogue;Piura;565;2010;75;U.S.A.;3.75;Peru;
Rozsavolgyi;Sambirano, Akesson Estate;871;2012;72;Hungary;2.5;Madagascar;Trinitario
Scharffen Berger;Ben Tre;445;2009;72;U.S.A.;3.75;Vietnam;Trinitario
